Last Avg Tensiometer,Predicted Avg Tensiometer,Predicted Rain Amount,Predicted Max Temperature,Decision
635,355,0,25,Not Recommended
504,217,2,26,Single Turn
665,445,0,24,Not Recommended
403,564,21,22,Double Turn
697,518,1,28,Not Recommended
630,386,26,27,Half Turn
718,330,12,38,Half Turn
579,326,14,26,Not Recommended
637,892,12,29,Double Turn
554,787,-1,26,Single Turn
569,376,5,27,Half Turn
579,500,1,25,Not Recommended
692,512,3,29,Half Turn
743,391,22,26,Single Turn
722,551,4,28,Half Turn
731,402,16,23,Not Recommended
692,384,21,28,Half Turn
374,742,1,24,Single Turn
793,490,8,24,Half Turn
762,408,-2,29,Not Recommended
644,364,4,28,Single Turn
623,378,11,28,Single Turn
670,698,7,33,Double Turn
712,458,-1,25,Double Turn
468,707,2,21,Not Recommended
719,225,3,29,Single Turn
603,249,22,25,Not Recommended
735,498,21,30,Single Turn
653,145,20,30,Single Turn
500,445,6,29,Double Turn
512,402,11,29,Not Recommended
592,293,23,29,Not Recommended
581,630,4,28,Not Recommended
368,425,1,28,Single Turn
376,529,25,29,Not Recommended
514,448,7,34,Not Recommended
483,759,0,28,Half Turn
632,726,3,29,Single Turn
527,608,2,29,Double Turn
672,671,3,26,Not Recommended
243,457,2,32,Single Turn
549,443,3,27,Half Turn
729,491,3,29,Not Recommended
701,784,1,21,Half Turn
516,268,3,29,Half Turn
742,416,4,32,Not Recommended
491,511,14,29,Half Turn
708,668,3,27,Half Turn
760,216,2,32,Not Recommended
541,559,1,29,Double Turn
530,506,14,27,Half Turn
754,651,-2,27,Double Turn
446,333,21,32,Not Recommended
587,458,19,26,Not Recommended
714,422,15,33,Half Turn
620,173,8,29,Not Recommended
609,520,1,25,Not Recommended
637,457,2,26,Half Turn
774,306,3,22,Half Turn
727,632,0,27,Single Turn
363,345,13,25,Not Recommended
568,677,23,26,Half Turn
719,690,23,33,Not Recommended
246,273,14,29,Not Recommended
715,618,27,20,Double Turn
757,856,3,26,Not Recommended
767,256,0,22,Not Recommended
502,548,-2,28,Not Recommended
428,457,23,30,Double Turn
780,600,4,32,Double Turn
674,629,23,35,Not Recommended
734,372,2,27,Half Turn
647,270,12,32,Not Recommended
611,520,1,33,Single Turn
704,332,26,29,Double Turn
341,394,23,25,Half Turn
446,549,1,26,Half Turn
791,282,14,31,Half Turn
420,623,0,33,Not Recommended
656,499,20,27,Not Recommended
656,519,2,22,Double Turn
779,672,2,24,Half Turn
362,486,3,30,Double Turn
541,382,4,31,Half Turn
392,437,1,23,Half Turn
485,442,21,29,Single Turn
685,473,-1,28,Half Turn
623,401,2,29,Not Recommended
688,236,3,26,Single Turn
770,442,2,20,Not Recommended
150,561,19,19,Not Recommended
625,557,23,28,Not Recommended
386,443,0,26,Single Turn
532,443,3,22,Half Turn
449,501,3,24,Half Turn
710,441,1,21,Not Recommended
669,535,11,29,Not Recommended
513,499,1,31,Single Turn
298,410,14,29,Double Turn
560,466,8,18,Double Turn
451,659,1,25,Single Turn
436,483,3,30,Half Turn
809,407,29,35,Single Turn
399,675,8,20,Double Turn
800,549,12,26,Half Turn
457,457,22,29,Not Recommended
522,387,14,22,Double Turn
755,453,2,26,Not Recommended
713,713,2,29,Double Turn
592,262,2,35,Half Turn
469,540,2,28,Not Recommended
595,660,20,27,Double Turn
490,182,2,32,Not Recommended
743,517,0,31,Single Turn
429,528,19,21,Single Turn
811,670,1,22,Double Turn
788,717,2,30,Single Turn
493,426,-1,25,Not Recommended
745,532,15,19,Not Recommended
361,75,17,27,Not Recommended
547,560,0,35,Not Recommended
663,682,12,21,Not Recommended
668,353,0,25,Double Turn
621,660,25,29,Single Turn
253,520,3,21,Double Turn
649,678,18,26,Half Turn
647,549,15,27,Single Turn
688,695,3,29,Single Turn
556,565,5,33,Single Turn
764,234,11,29,Double Turn
627,530,19,24,Half Turn
700,744,19,25,Not Recommended
434,222,8,25,Not Recommended
547,367,27,26,Half Turn
662,420,2,22,Single Turn
495,352,15,19,Double Turn
191,741,17,26,Single Turn
619,642,2,28,Not Recommended
587,231,2,31,Half Turn
491,739,4,21,Not Recommended
659,629,4,22,Half Turn
592,555,17,29,Double Turn
598,824,0,27,Half Turn
510,-48,29,28,Not Recommended
591,365,0,29,Single Turn
250,514,24,21,Single Turn
490,525,6,24,Single Turn
615,154,19,33,Single Turn
565,485,26,28,Half Turn
647,488,3,29,Double Turn
559,718,0,22,Single Turn
750,594,2,28,Single Turn
680,530,-1,25,Single Turn
447,558,1,18,Not Recommended
763,494,28,29,Single Turn
310,563,3,32,Half Turn
269,730,16,28,Single Turn
389,715,-2,29,Not Recommended
277,109,9,28,Not Recommended
660,537,0,28,Not Recommended
755,476,0,27,Single Turn
665,554,1,29,Half Turn
789,571,9,29,Not Recommended
625,656,15,30,Single Turn
540,518,-1,29,Single Turn
508,712,19,28,Single Turn
806,553,3,33,Double Turn
290,526,2,26,Single Turn
273,480,9,27,Not Recommended
723,456,3,33,Half Turn
488,561,2,24,Double Turn
600,785,2,25,Single Turn
724,794,1,28,Half Turn
527,389,-1,22,Double Turn
556,669,1,30,Double Turn
176,456,26,33,Not Recommended
738,517,3,28,Half Turn
723,510,2,29,Not Recommended
706,513,17,28,Not Recommended
544,397,17,26,Single Turn
678,279,3,32,Not Recommended
598,498,1,22,Not Recommended
646,412,17,27,Single Turn
693,682,10,30,Not Recommended
652,711,19,29,Double Turn
718,512,-1,28,Single Turn
545,896,0,26,Half Turn
771,531,2,25,Single Turn
625,592,10,25,Single Turn
629,388,18,28,Not Recommended
792,412,3,25,Not Recommended
494,811,4,21,Single Turn
658,763,23,20,Half Turn
442,564,26,21,Half Turn
482,435,2,23,Double Turn
635,788,14,28,Not Recommended
461,510,-1,21,Half Turn
727,596,9,19,Single Turn
717,524,29,29,Single Turn
451,544,-5,27,Not Recommended
531,444,0,33,Not Recommended
491,687,6,27,Double Turn
619,648,17,25,Double Turn
498,496,14,30,Half Turn
699,355,2,22,Half Turn
597,841,28,27,Single Turn
651,817,9,28,Not Recommended
698,631,1,20,Single Turn
493,840,-2,35,Not Recommended
394,544,21,37,Double Turn
724,420,1,26,Double Turn
737,221,2,33,Single Turn
726,653,21,27,Half Turn
333,523,1,29,Single Turn
735,435,4,26,Single Turn
637,720,2,26,Not Recommended
688,683,12,22,Single Turn
490,387,15,29,Not Recommended
633,754,1,28,Half Turn
655,336,1,27,Not Recommended
688,730,11,27,Single Turn
606,895,19,26,Double Turn
450,607,14,33,Half Turn
624,331,24,21,Not Recommended
582,438,0,26,Not Recommended
668,490,-3,20,Half Turn
510,649,18,26,Not Recommended
631,371,3,27,Single Turn
312,528,4,28,Not Recommended
557,892,-3,31,Single Turn
683,543,21,30,Double Turn
771,483,3,24,Half Turn
801,396,3,26,Single Turn
628,213,1,27,Not Recommended
424,446,0,28,Single Turn
425,473,3,37,Single Turn
736,619,2,21,Not Recommended
710,441,3,29,Single Turn
602,471,-1,28,Not Recommended
458,433,-1,29,Not Recommended
706,356,17,22,Half Turn
482,544,-1,28,Single Turn
688,663,0,21,Not Recommended
592,475,3,32,Not Recommended
464,663,1,26,Not Recommended
735,337,8,27,Half Turn
529,657,22,32,Not Recommended
484,455,15,26,Not Recommended
452,381,12,33,Half Turn
712,455,9,24,Half Turn
572,818,2,25,Not Recommended
627,820,15,29,Not Recommended
291,472,22,34,Not Recommended
699,415,18,21,Half Turn
505,475,0,26,Half Turn
436,509,1,26,Not Recommended
781,495,1,26,Single Turn
576,467,2,25,Single Turn
655,497,0,28,Single Turn
758,358,3,27,Double Turn
459,608,2,25,Double Turn
759,525,15,26,Half Turn
493,446,2,28,Double Turn
570,328,21,27,Single Turn
748,404,6,31,Single Turn
770,307,29,22,Not Recommended
434,251,17,22,Double Turn
609,347,20,26,Single Turn
689,511,2,22,Half Turn
681,635,1,20,Not Recommended
724,404,24,31,Half Turn
415,441,14,34,Half Turn
645,248,30,20,Single Turn
758,599,-2,33,Half Turn
157,788,-3,31,Single Turn
723,579,-1,29,Half Turn
239,596,12,30,Not Recommended
637,607,-2,33,Half Turn
576,562,3,27,Single Turn
720,542,0,27,Single Turn
575,393,1,23,Single Turn
719,492,24,26,Not Recommended
110,453,1,27,Not Recommended
741,573,1,28,Single Turn
638,917,26,29,Not Recommended
775,202,25,28,Not Recommended
556,637,20,26,Not Recommended
708,447,0,27,Not Recommended
626,527,2,32,Half Turn
800,728,1,19,Single Turn
505,891,1,28,Half Turn
738,458,0,34,Half Turn
688,591,2,30,Single Turn
614,624,1,29,Double Turn
693,425,2,31,Not Recommended
403,806,18,32,Double Turn
651,464,11,25,Single Turn
780,315,1,25,Half Turn
584,454,5,22,Not Recommended
641,476,10,29,Single Turn
629,854,3,32,Double Turn
570,549,1,29,Single Turn
801,466,2,21,Half Turn
742,533,1,28,Single Turn
616,510,21,29,Single Turn
674,383,10,26,Not Recommended
650,509,-1,26,Not Recommended
732,415,17,28,Half Turn
690,713,0,31,Not Recommended
569,539,2,28,Double Turn
494,503,25,28,Single Turn
543,287,1,30,Half Turn
393,844,0,27,Double Turn
696,774,2,30,Not Recommended
811,449,19,28,Single Turn
476,448,2,23,Not Recommended
771,731,-3,29,Not Recommended
570,406,21,26,Single Turn
657,579,16,26,Half Turn
686,523,17,30,Not Recommended
618,460,18,25,Half Turn
751,468,1,26,Double Turn
572,388,28,32,Double Turn
534,450,9,28,Double Turn
655,444,27,30,Not Recommended
571,484,2,27,Not Recommended
268,142,1,29,Half Turn
484,644,4,32,Not Recommended
735,458,-2,22,Double Turn
496,424,0,32,Single Turn
539,287,3,26,Not Recommended
358,534,1,33,Not Recommended
518,358,21,27,Not Recommended
602,730,24,25,Half Turn
152,247,2,21,Single Turn
667,747,7,25,Not Recommended
524,502,3,29,Not Recommended
712,491,2,25,Not Recommended
729,732,18,28,Single Turn
519,491,21,29,Double Turn
760,462,3,21,Not Recommended
519,440,18,34,Not Recommended
280,859,1,20,Double Turn
635,464,26,30,Not Recommended
382,860,-1,26,Not Recommended
760,567,11,24,Not Recommended
275,708,15,29,Not Recommended
670,248,30,22,Not Recommended
779,660,2,26,Half Turn
606,552,-4,34,Half Turn
674,444,15,28,Not Recommended
582,231,2,31,Not Recommended
671,765,21,28,Single Turn
641,514,17,28,Half Turn
564,757,14,25,Single Turn
597,887,2,32,Half Turn
672,748,28,23,Not Recommended
519,223,0,27,Single Turn
704,477,22,25,Single Turn
345,666,21,30,Half Turn
570,425,27,24,Double Turn
766,462,1,25,Single Turn
347,811,1,26,Single Turn
665,306,25,27,Not Recommended
423,785,8,25,Half Turn
510,507,-1,25,Half Turn
646,385,21,25,Double Turn
485,778,19,36,Not Recommended
418,366,27,25,Not Recommended
623,496,2,21,Half Turn
699,699,2,24,Single Turn
626,686,0,26,Half Turn
328,882,0,32,Not Recommended
229,379,2,31,Not Recommended
734,297,15,32,Half Turn
453,495,1,29,Not Recommended
636,821,3,29,Single Turn
621,381,1,29,Single Turn
661,819,12,37,Single Turn
584,679,17,22,Double Turn
614,460,0,27,Not Recommended
682,110,14,39,Double Turn
598,228,3,31,Not Recommended
658,554,-2,21,Single Turn
453,522,1,25,Double Turn
645,438,21,21,Double Turn
514,451,29,23,Single Turn
537,136,23,32,Double Turn
580,537,2,30,Single Turn
499,509,27,22,Double Turn
576,739,3,24,Double Turn
521,481,27,21,Not Recommended
787,401,4,27,Single Turn
803,699,8,29,Double Turn
490,483,1,23,Double Turn
776,835,-2,29,Not Recommended
731,373,23,25,Not Recommended
323,639,3,28,Single Turn
693,308,29,20,Half Turn
541,473,13,29,Not Recommended
596,513,18,28,Half Turn
767,697,3,26,Double Turn
645,363,3,27,Half Turn
384,530,-1,26,Not Recommended
454,446,15,34,Not Recommended
602,469,0,26,Half Turn
777,232,23,25,Not Recommended
650,835,30,21,Not Recommended
701,133,8,35,Double Turn
810,758,2,28,Double Turn
589,483,1,26,Single Turn
422,386,9,36,Double Turn
536,542,30,26,Not Recommended
439,454,11,29,Not Recommended
417,657,2,29,Half Turn
813,712,28,20,Single Turn
779,565,15,28,Half Turn
580,373,3,24,Not Recommended
630,532,21,30,Half Turn
583,517,1,32,Single Turn
815,561,27,21,Double Turn
635,648,1,29,Not Recommended
284,229,1,20,Half Turn
560,460,8,27,Double Turn
687,572,3,29,Not Recommended
432,646,1,22,Half Turn
579,446,1,32,Single Turn
115,573,27,32,Single Turn
678,604,10,27,Single Turn
664,664,0,28,Single Turn
224,709,2,25,Single Turn
682,637,23,30,Half Turn
551,557,8,35,Double Turn
759,30,3,26,Not Recommended
459,892,-3,28,Not Recommended
558,652,-1,26,Single Turn
518,647,7,31,Single Turn
693,268,3,24,Not Recommended
803,602,1,32,Single Turn
669,713,24,23,Not Recommended
652,830,0,23,Single Turn
780,574,0,27,Single Turn
342,476,2,26,Not Recommended
657,672,21,22,Not Recommended
557,513,7,29,Not Recommended
527,787,-3,31,Half Turn
202,-30,3,25,Double Turn
507,705,0,27,Half Turn
513,661,2,32,Half Turn
522,568,8,29,Single Turn
550,577,2,31,Single Turn
644,487,3,26,Not Recommended
413,472,8,33,Half Turn
263,458,2,21,Half Turn
792,354,23,26,Half Turn
589,884,0,38,Half Turn
242,563,7,23,Single Turn
768,348,28,23,Double Turn
496,364,27,28,Not Recommended
734,561,8,29,Single Turn
381,716,1,25,Not Recommended
627,673,26,25,Double Turn
532,687,11,22,Single Turn
519,811,28,29,Not Recommended
729,391,28,29,Single Turn
689,579,16,19,Not Recommended
571,428,29,32,Single Turn
569,636,13,27,Half Turn
410,489,0,28,Half Turn
720,490,-1,25,Not Recommended
788,503,-1,28,Single Turn
573,-34,27,30,Single Turn
568,416,3,22,Not Recommended
605,500,0,30,Single Turn
232,570,2,27,Not Recommended
780,430,21,27,Single Turn
641,474,29,20,Single Turn
216,710,2,32,Single Turn
670,452,13,22,Not Recommended
498,523,2,31,Double Turn
468,437,24,23,Half Turn
475,360,3,30,Half Turn
374,292,1,27,Half Turn
569,400,3,29,Single Turn
738,485,2,32,Half Turn
326,367,5,26,Double Turn
542,565,0,32,Single Turn
727,345,12,27,Double Turn
509,908,2,28,Not Recommended
662,713,23,26,Not Recommended
772,68,4,27,Double Turn
463,550,12,25,Not Recommended
308,777,9,31,Not Recommended
285,442,1,22,Not Recommended
674,254,20,38,Double Turn
239,301,27,37,Not Recommended
621,470,16,34,Half Turn
686,505,5,29,Not Recommended
678,495,3,30,Half Turn
554,701,7,28,Single Turn
460,649,3,28,Not Recommended
526,325,16,31,Not Recommended
663,383,2,24,Double Turn
673,667,20,30,Not Recommended
750,732,26,27,Double Turn
700,383,1,25,Double Turn
497,379,2,31,Not Recommended
781,846,2,21,Not Recommended
282,607,2,28,Half Turn
520,401,25,23,Not Recommended
806,488,19,28,Half Turn
555,574,2,27,Single Turn
611,431,24,20,Double Turn
765,548,2,26,Single Turn
662,377,11,26,Half Turn
822,659,23,25,Half Turn
740,521,16,34,Half Turn
435,796,19,22,Double Turn
285,742,20,26,Double Turn
701,229,10,21,Double Turn
716,644,1,25,Not Recommended
736,478,-1,25,Double Turn
532,799,3,21,Not Recommended
696,520,20,26,Not Recommended
722,797,-4,30,Double Turn
421,398,2,29,Half Turn
712,508,29,25,Single Turn
687,503,9,28,Double Turn
659,645,1,31,Not Recommended
501,391,2,27,Not Recommended
585,544,25,23,Not Recommended
694,480,23,25,Single Turn
619,499,2,24,Half Turn
503,525,2,25,Single Turn
528,271,26,29,Not Recommended
603,414,1,23,Not Recommended
718,584,22,20,Single Turn
632,884,7,27,Not Recommended
573,345,22,26,Half Turn
649,389,18,25,Not Recommended
771,471,1,26,Single Turn
648,191,13,26,Double Turn
724,545,13,31,Not Recommended
785,773,-1,25,Not Recommended
716,328,2,26,Single Turn
600,622,15,25,Not Recommended
556,754,0,28,Half Turn
566,220,2,24,Not Recommended
696,498,13,25,Not Recommended
581,495,24,29,Single Turn
635,366,1,30,Not Recommended
715,444,-2,29,Half Turn
613,418,20,33,Not Recommended
775,603,1,24,Not Recommended
618,426,15,28,Not Recommended
641,474,24,23,Single Turn
424,676,-1,31,Not Recommended
736,556,15,30,Double Turn
383,472,16,32,Single Turn
609,445,24,26,Half Turn
540,416,2,37,Double Turn
591,467,4,26,Single Turn
658,712,4,25,Not Recommended
584,740,3,27,Single Turn
605,325,24,26,Half Turn
561,376,4,26,Double Turn
729,480,20,21,Single Turn
609,417,3,31,Single Turn
577,663,0,29,Half Turn
496,195,0,27,Half Turn
577,289,11,26,Double Turn
595,539,2,25,Not Recommended
684,470,15,26,Not Recommended
758,167,2,35,Single Turn
672,647,3,29,Not Recommended
458,348,2,28,Double Turn
725,503,16,28,Not Recommended
616,400,-1,35,Single Turn
748,577,26,34,Double Turn
509,219,3,22,Half Turn
723,436,24,20,Double Turn
665,679,0,29,Single Turn
204,479,18,26,Not Recommended
737,339,4,22,Not Recommended
476,548,29,23,Not Recommended
668,528,1,27,Not Recommended
750,484,2,30,Not Recommended
471,441,19,30,Not Recommended
633,411,1,26,Double Turn
646,637,13,29,Not Recommended
749,528,8,24,Double Turn
642,178,1,23,Not Recommended
651,621,26,25,Half Turn
582,721,11,24,Double Turn
577,502,-1,38,Not Recommended
738,768,24,26,Not Recommended
286,443,0,28,Not Recommended
555,347,25,25,Not Recommended
697,717,23,25,Half Turn
767,324,1,25,Double Turn
501,554,8,33,Not Recommended
601,615,2,26,Not Recommended
760,453,0,32,Single Turn
512,642,2,31,Half Turn
277,352,20,32,Single Turn
309,308,31,26,Not Recommended
641,835,17,35,Single Turn
814,547,20,23,Not Recommended
459,860,25,31,Single Turn
676,673,2,22,Not Recommended
627,484,29,31,Single Turn
526,465,3,25,Half Turn
518,438,2,28,Not Recommended
773,480,24,24,Not Recommended
586,665,-1,30,Not Recommended
556,435,12,30,Half Turn
506,338,20,35,Single Turn
693,722,10,27,Single Turn
725,682,-2,34,Not Recommended
679,517,1,30,Half Turn
802,298,27,26,Half Turn
650,89,2,25,Not Recommended
656,72,16,20,Half Turn
552,658,21,32,Half Turn
770,445,-1,20,Not Recommended
792,320,19,29,Single Turn
452,633,0,33,Not Recommended
755,427,23,29,Half Turn
664,684,2,35,Half Turn
718,491,18,27,Not Recommended
758,555,6,26,Single Turn
531,512,31,33,Double Turn
533,452,18,28,Not Recommended
139,545,0,25,Not Recommended
375,326,3,24,Half Turn
647,464,1,27,Double Turn
808,502,22,25,Double Turn
317,416,23,28,Single Turn
522,786,2,31,Not Recommended
619,710,2,28,Half Turn
540,471,0,29,Double Turn
715,314,19,27,Single Turn
779,765,0,28,Not Recommended
505,534,0,28,Single Turn
583,534,27,24,Not Recommended
523,473,-2,34,Double Turn
497,636,0,24,Single Turn
119,486,14,21,Half Turn
583,296,1,33,Double Turn
620,518,5,31,Double Turn
576,409,8,29,Not Recommended
717,566,2,27,Not Recommended
462,582,1,33,Double Turn
595,767,2,31,Half Turn
624,461,-1,32,Not Recommended
596,379,14,32,Single Turn
577,628,20,26,Half Turn
486,399,1,32,Not Recommended
549,512,18,23,Half Turn
747,585,1,22,Not Recommended
402,734,26,23,Double Turn
330,563,3,27,Single Turn
742,364,0,22,Single Turn
707,231,0,22,Half Turn
373,341,27,29,Single Turn
316,521,3,26,Not Recommended
441,402,0,30,Half Turn
758,59,25,27,Not Recommended
527,719,-1,26,Single Turn
339,564,0,25,Double Turn
709,495,12,33,Double Turn
748,501,3,30,Half Turn
736,546,1,27,Half Turn
753,526,9,22,Double Turn
506,564,3,32,Not Recommended
419,576,-1,34,Half Turn
514,766,16,30,Single Turn
593,520,2,25,Not Recommended
635,434,19,30,Single Turn
473,854,0,33,Single Turn
557,555,21,30,Not Recommended
563,454,18,26,Not Recommended
537,696,1,31,Double Turn
282,621,1,26,Not Recommended
686,447,23,31,Not Recommended
762,366,31,20,Half Turn
732,448,2,24,Not Recommended
739,819,1,30,Single Turn
749,568,1,25,Not Recommended
643,533,26,30,Not Recommended
576,429,18,32,Single Turn
57,581,20,24,Not Recommended
316,509,3,27,Half Turn
336,395,10,25,Not Recommended
777,438,1,30,Not Recommended
560,778,2,20,Half Turn
575,722,20,31,Not Recommended
496,313,2,27,Not Recommended
549,510,0,31,Not Recommended
698,742,27,23,Not Recommended
739,380,1,30,Not Recommended
687,453,3,27,Single Turn
668,436,2,27,Not Recommended
405,344,0,26,Single Turn
663,470,22,26,Double Turn
549,728,15,28,Single Turn
507,691,17,32,Not Recommended
796,418,20,30,Half Turn
377,394,3,27,Not Recommended
750,487,21,23,Not Recommended
701,424,22,32,Not Recommended
515,491,2,22,Single Turn
778,40,2,25,Single Turn
310,823,19,32,Single Turn
602,540,20,33,Not Recommended
352,576,-2,30,Half Turn
687,609,-1,28,Not Recommended
593,430,21,27,Double Turn
771,820,1,25,Half Turn
698,534,16,25,Single Turn
689,459,2,21,Not Recommended
615,486,3,25,Not Recommended
388,519,28,36,Single Turn
619,484,7,29,Single Turn
526,469,2,28,Not Recommended
469,494,2,27,Half Turn
513,289,20,26,Double Turn
118,252,23,29,Half Turn
536,633,23,25,Not Recommended
182,483,8,20,Single Turn
791,471,25,33,Not Recommended
715,479,2,31,Half Turn
785,656,-1,22,Not Recommended
283,486,18,24,Not Recommended
708,256,27,26,Not Recommended
492,556,0,33,Single Turn
532,395,3,30,Not Recommended
333,631,2,27,Not Recommended
516,401,3,32,Half Turn
604,380,24,29,Double Turn
719,769,28,26,Not Recommended
571,579,9,24,Not Recommended
480,283,0,35,Half Turn
748,437,9,27,Single Turn
573,510,20,26,Not Recommended
637,507,1,29,Not Recommended
663,518,0,26,Not Recommended
491,626,1,28,Half Turn
603,576,24,26,Double Turn
346,404,1,22,Not Recommended
584,468,3,31,Not Recommended
550,509,-1,30,Double Turn
495,307,2,29,Not Recommended
540,588,21,30,Not Recommended
498,849,3,26,Single Turn
562,853,9,28,Half Turn
230,110,1,30,Single Turn
603,489,23,23,Half Turn
467,232,-2,26,Single Turn
535,826,1,31,Not Recommended
687,468,27,34,Single Turn
420,564,0,30,Half Turn
623,344,16,25,Half Turn
637,691,2,28,Single Turn
388,545,-3,33,Half Turn
763,403,3,31,Single Turn
622,797,1,23,Single Turn
697,735,0,21,Double Turn
485,753,-1,35,Not Recommended
700,332,17,27,Double Turn
196,620,1,30,Not Recommended
607,788,27,34,Not Recommended
312,739,0,27,Half Turn
632,352,18,26,Single Turn
567,478,3,27,Not Recommended
714,590,3,26,Not Recommended
645,357,11,29,Not Recommended
684,401,27,26,Half Turn
585,466,1,28,Single Turn
534,668,3,25,Not Recommended
806,421,1,30,Half Turn
672,537,11,26,Half Turn
740,166,3,27,Half Turn
512,761,2,29,Half Turn
337,525,6,27,Not Recommended
449,460,25,20,Single Turn
552,440,28,26,Not Recommended
717,281,8,28,Single Turn
785,490,-1,24,Not Recommended
513,71,24,33,Single Turn
690,502,10,29,Not Recommended
542,572,25,29,Not Recommended
409,340,3,29,Half Turn
620,565,1,30,Double Turn
696,452,24,27,Half Turn
642,383,20,23,Not Recommended
696,533,16,20,Single Turn
677,630,-2,32,Double Turn
484,832,17,31,Not Recommended
562,269,27,25,Single Turn
432,540,26,32,Not Recommended
565,691,23,29,Not Recommended
631,768,1,25,Not Recommended
471,466,1,28,Not Recommended
782,449,18,26,Half Turn
651,659,20,30,Single Turn
293,464,3,28,Half Turn
633,452,-1,31,Half Turn
669,442,2,30,Half Turn
671,533,-1,33,Not Recommended
701,552,23,24,Double Turn
593,362,21,28,Single Turn
470,738,25,30,Double Turn
640,623,21,22,Half Turn
590,608,1,30,Single Turn
552,634,21,30,Double Turn
628,427,0,34,Single Turn
276,719,28,29,Double Turn
538,451,1,32,Double Turn
279,454,11,32,Half Turn
665,149,18,31,Not Recommended
403,389,10,26,Not Recommended
783,522,1,22,Single Turn
757,552,25,30,Not Recommended
603,504,-2,25,Single Turn
697,461,20,31,Not Recommended
673,358,1,27,Half Turn
676,558,1,26,Half Turn
452,427,4,30,Single Turn
552,569,0,23,Half Turn
518,762,20,31,Half Turn
496,646,1,28,Half Turn
790,574,0,31,Half Turn
333,352,17,24,Half Turn
648,468,20,25,Half Turn
291,225,2,27,Not Recommended
570,181,26,23,Single Turn
700,406,3,31,Double Turn
439,745,21,21,Not Recommended
511,229,26,25,Half Turn
553,677,2,21,Single Turn
346,264,0,28,Single Turn
752,524,1,30,Not Recommended
697,322,29,25,Not Recommended
530,450,2,25,Single Turn
454,303,2,25,Not Recommended
634,503,15,26,Not Recommended
534,655,2,22,Not Recommended
574,550,3,20,Not Recommended
549,517,0,27,Not Recommended
769,439,19,29,Not Recommended
703,860,22,24,Not Recommended
753,720,2,22,Half Turn
517,461,12,26,Not Recommended
756,749,1,22,Half Turn
659,501,12,34,Single Turn
63,465,3,25,Single Turn
715,560,13,20,Not Recommended
178,536,-1,27,Single Turn
760,432,26,20,Single Turn
781,328,25,27,Half Turn
674,431,1,28,Single Turn
530,263,4,29,Double Turn
68,420,2,37,Half Turn
673,496,14,30,Half Turn
438,523,3,25,Half Turn
601,421,20,27,Half Turn
704,424,21,25,Half Turn
388,586,4,34,Half Turn
357,328,14,29,Not Recommended
762,456,5,27,Not Recommended
428,680,3,26,Half Turn
585,323,2,28,Not Recommended
711,515,-2,22,Double Turn
706,136,27,26,Single Turn
713,719,12,31,Half Turn
616,478,15,20,Single Turn
436,496,2,31,Half Turn
680,159,3,25,Not Recommended
788,424,15,26,Single Turn
650,570,25,32,Not Recommended
314,494,2,29,Not Recommended
212,654,-2,22,Not Recommended
566,370,1,29,Not Recommended
562,306,3,25,Single Turn
714,468,3,20,Half Turn
699,363,9,32,Not Recommended
695,515,20,25,Double Turn
479,474,4,25,Not Recommended
481,618,6,34,Half Turn
750,348,2,22,Not Recommended
582,497,19,30,Not Recommended
690,660,3,30,Half Turn
476,528,20,34,Not Recommended
563,483,1,27,Not Recommended
684,724,-5,34,Single Turn
762,353,-1,26,Not Recommended
403,317,8,27,Half Turn
671,347,16,23,Double Turn
779,160,7,20,Single Turn
502,390,3,31,Half Turn
432,386,25,25,Half Turn
727,466,-2,28,Single Turn
535,611,6,23,Double Turn
622,502,1,26,Half Turn
413,408,5,31,Not Recommended
548,440,19,30,Half Turn
460,794,0,28,Half Turn
428,494,1,30,Not Recommended
767,324,-1,26,Single Turn
524,857,9,32,Not Recommended
719,449,18,27,Not Recommended
250,493,3,37,Not Recommended
764,441,20,24,Not Recommended
485,471,9,29,Double Turn
479,365,23,24,Not Recommended
353,-8,2,24,Single Turn
560,481,1,21,Double Turn
518,634,0,25,Half Turn
438,806,1,25,Not Recommended
542,820,13,29,Not Recommended
774,441,25,28,Double Turn
617,625,-1,25,Double Turn
516,605,19,26,Double Turn
602,742,-2,30,Not Recommended
761,542,18,23,Not Recommended
728,338,12,22,Half Turn
612,538,9,29,Not Recommended
678,604,23,29,Single Turn
443,527,0,26,Double Turn
559,392,1,27,Half Turn
617,780,12,25,Double Turn
793,559,29,33,Half Turn
636,473,12,22,Not Recommended
545,382,3,22,Half Turn
692,143,22,24,Double Turn
738,503,2,27,Not Recommended
704,844,-1,29,Not Recommended
607,364,13,24,Not Recommended
719,394,1,26,Half Turn
506,357,2,31,Half Turn
683,515,3,25,Not Recommended
672,357,6,22,Single Turn
754,373,-2,26,Not Recommended
434,828,2,37,Not Recommended
651,771,2,29,Not Recommended
769,554,1,26,Single Turn
539,635,1,27,Single Turn
764,660,26,28,Not Recommended
611,358,2,29,Not Recommended
807,690,1,30,Not Recommended
641,498,2,26,Not Recommended
435,455,2,23,Half Turn
616,506,19,36,Single Turn
637,517,1,22,Not Recommended
648,465,0,32,Double Turn
741,652,20,20,Double Turn
621,371,10,26,Single Turn
469,584,24,34,Half Turn
295,689,24,25,Double Turn
659,458,4,25,Not Recommended
436,427,1,20,Not Recommended
696,695,0,26,Half Turn
454,596,7,29,Not Recommended
